participant_id,condition,outliers,Valid_Trials,fixation,stimulus_on,stimulus_off,Trial_Offset
206264582,color change & not first & no update & correct,0,9,251,1258,3263,2617
206264582,color change & not first & update & correct,0,8,62,1069,3074,2325
206993057,color change & not first & no update & correct,0,31,151,996,2678,2215
206993057,color change & not first & update & correct,0,22,24,863,2462,2188
207601006,color change & not first & no update & correct,0,29,46,1054,3059,2463
207601006,color change & not first & update & correct,0,22,57,1064,2753,2468
207917279,color change & not first & no update & correct,0,20,164,1171,3177,2595
207917279,color change & not first & update & correct,0,15,73,1080,3086,2700
208488783,color change & not first & no update & correct,0,10,15,1022,3028,3008
208488783,color change & not first & update & correct,0,8,22,1029,3035,3028
208827162,color change & not first & no update & correct,0,39,36,1043,2968,2519
208827162,color change & not first & update & correct,0,26,173,1181,3186,2398
313162711,color change & not first & no update & correct,0,6,64,1071,1942,1275
313162711,color change & not first & update & correct,0,5,232,1022,1830,1135
318881984,color change & not first & no update & correct,0,9,60,1068,3073,2511
318881984,color change & not first & update & correct,0,6,66,1074,2569,2383
